PCC,SEPCC,dummies,Hstatistic,developed,undeveloped,Logit,lnobs,citations,firstpub,quadratic,Boone,IFrecursive,regulation,OLS,reviewed_journal,ownership,Concentration,FE,endogeneity,NPL,Lerner,global,HHI,macro,Zscore,RE,T,DtoD,sampleyear,GMM,someAveraged,profit_volat,profitability,SLS,capitalization
0.03152647,0.00962619,0,0,0,0,0,9.2855406,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.03313269,0.01014266,0,0,0,0,0,9.1809116,1.7917595,11,0,0,0.596,0,0,1,0,0,0,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,1,0
0.03579223,0.01423017,0,0,0,0,0,8.5034999,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.04507346,0.01066254,0,0,0,0,0,9.0800039,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.1972246,1,10.5,0,0,0,0,0,0
0.05646726,0.00999905,0,0,0,0,0,9.2073359,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.5649494,1,10.5,0,0,0,0,0,0
0.04618328,0.00928327,0,0,0,0,0,9.3569484,1.7917595,11,0,0,0.596,0,0,1,0,0,1,1,0,1,1,0,0,0,0,2.6390573,1,10.5,0,0,0,0,0,0
0.02533179,0.06187858,0,0,0,1,0,5.5645204,0.87546874,7,0,0,0.005,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2.1972246,0,12.5,0,0,0,0,0,0
-0.00447147,0.06189783,0,0,0,1,0,5.5645204,0.87546874,7,0,0,0.005,0,0,1,1,0,0,0,1,1,1,0,0,0,1,2.1972246,0,12.5,0,0,0,0,0,0
-0.08254839,0.06585633,0,0,0,1,0,5.433722,0.87546874,7,0,0,0.005,0,0,1,1,0,0,1,1,1,1,0,0,0,0,2.1972246,0,12.5,1,0,0,0,0,0
-0.08431703,0.07028339,0,0,0,1,0,5.3033049,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2.1972246,0,12.5,1,0,0,0,0,0
-0.03057813,0.07050158,0,0,0,1,0,5.3033049,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2.1972246,0,12.5,1,0,0,0,0,0
0.07477882,0.06137343,0,0,0,1,0,5.5759491,0.87546874,7,0,0,0.005,0,0,1,0,0,1,0,1,0,1,0,0,0,0,2.1972246,0,12.5,0,0,0,0,0,0
0.08981293,0.06129702,0,0,0,1,0,5.5759491,0.87546874,7,0,0,0.005,0,0,1,1,0,0,0,1,0,1,0,0,0,1,2.1972246,0,12.5,0,0,0,0,0,0
0.14985023,0.06463391,0,0,0,1,0,5.4553211,0.87546874,7,0,0,0.005,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2.1972246,0,12.5,1,0,0,0,0,0
0.07541073,0.06964416,0,0,0,1,0,5.32301,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2.1972246,0,12.5,1,0,0,0,0,0
0.14289861,0.06912625,0,0,0,1,0,5.32301,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,1,0,1,0,0,0,0,2.1972246,0,12.5,1,0,0,0,0,0
0.10137231,0.06146195,0,0,0,1,0,5.5683445,0.87546874,7,0,0,0.005,0,0,1,0,0,1,0,0,1,1,0,0,1,0,2.1972246,0,12.5,0,0,0,0,0,0
0.1693445,0.06088791,0,0,0,1,0,5.5683445,0.87546874,7,0,0,0.005,0,0,1,1,0,0,0,0,1,1,0,0,1,1,2.1972246,0,12.5,0,0,0,0,0,0
0.14562993,0.06537737,0,0,0,1,0,5.433722,0.87546874,7,0,0,0.005,0,0,1,1,0,0,1,0,1,1,0,0,1,0,2.1972246,0,12.5,1,0,0,0,0,0
0.07838968,0.07031751,0,0,0,1,0,5.3033049,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,0,1,1,0,0,1,0,2.1972246,0,12.5,1,0,0,0,0,0
0.1602886,0.06962256,0,0,0,1,0,5.3033049,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,0,1,1,0,0,1,0,2.1972246,0,12.5,1,0,0,0,0,0
-0.1444048,0.06033202,0,0,0,1,0,5.5947114,0.87546874,7,0,0,0.005,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2.1972246,0,12.5,0,0,0,0,0,0
-0.13897819,0.06037938,0,0,0,1,0,5.5947114,0.87546874,7,0,0,0.005,0,0,1,1,0,0,0,0,0,1,0,0,1,1,2.1972246,0,12.5,0,0,0,0,0,0
-0.08322025,0.06446024,0,0,0,1,0,5.4764636,0.87546874,7,0,0,0.005,0,0,1,1,0,0,1,0,0,1,0,0,1,0,2.1972246,0,12.5,1,0,0,0,0,0
-0.22706943,0.06720401,0,0,0,1,0,5.3471075,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2.1972246,0,12.5,1,0,0,0,0,0
-0.1710244,0.06798987,0,0,0,1,0,5.3471075,0.87546874,7,0,0,0.005,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2.1972246,0,12.5,1,0,0,0,0,0
-0.06505308,0.00351006,0,0,0,0,0,11.300004,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.0252759,0.00351639,0,0,0,0,0,11.300004,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2.7725887,0,9,0,0,1,0,0,0
-0.05368186,0.00351244,0,0,0,0,0,11.300004,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2.7725887,0,9,0,0,0,0,0,1
-0.0662121,0.00409115,0,0,0,0,0,10.993463,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.07582046,0.00360293,0,0,0,0,0,11.246248,2.9957323,8,0,0,0.596,0,0,1,0,0,0,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,1,0
-0.06399051,0.0035103,0,0,0,0,0,11.300004,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.06402258,0.00351029,0,0,0,0,0,11.300004,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.05870928,0.00351144,0,0,0,0,0,11.300004,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.05690879,0.0035439,0,0,0,0,0,11.281813,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.04831624,0.00352522,0,0,0,0,0,11.293288,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.06758766,0.00358313,0,0,0,0,0,11.258459,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.05913983,0.00351255,0,0,0,0,0,11.299324,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.05406225,0.00358859,0,0,0,0,0,11.257065,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.06459717,0.00358504,0,0,0,0,0,11.257788,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.08286006,0.00359213,0,0,0,0,0,11.251132,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.0718288,0.00350844,0,0,0,0,0,11.299992,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.05077981,0.00354407,0,0,0,0,0,11.28238,2.9957323,8,0,0,0.596,0,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.04163718,0.00364024,0,0,0,0,0,11.229674,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,1,0,2.7725887,0,9,0,0,0,0,0,0
-0.00690495,0.00364332,0,0,0,0,0,11.229674,2.9957323,8,0,0,0.596,1,0,1,0,0,1,1,0,1,0,0,0,0,0,2.7725887,0,9,0,0,1,0,0,0
-0.06535655,0.03173016,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.08362552,0.02953962,1,0,0,0,1,7.0370276,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.09000564,0.02947139,1,0,0,0,1,7.0405364,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.05474855,0.03189592,1,0,0,0,1,6.8875526,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06790212,0.03172476,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06581332,0.03172921,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.05237052,0.03175451,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,0,0,0,0,0,1,1,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06949111,0.03172128,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.17732411,0.05989361,1,0,0,0,1,5.598422,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06116146,0.03466641,1,0,0,0,1,6.7202202,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
0.06002822,0.03175687,1,0,0,0,1,6.8956827,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.07866137,0.04128744,1,0,0,0,1,6.3681872,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.0662516,0.03602858,1,0,0,0,1,6.6424868,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.08333333,0.04166667,1,0,0,0,1,6.349139,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.07823345,0.03628218,1,0,0,0,1,6.6267177,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.07245746,0.03227418,1,0,0,0,1,6.8617113,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.07060164,0.03227849,1,0,0,0,1,6.8617113,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06827828,0.03172394,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.07309954,0.03227267,1,0,0,0,1,6.8617113,4.1640779,3,0,0,0.239,1,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.09081092,0.03166676,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.0685591,0.03172333,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.10065055,0.03163667,1,0,0,0,1,6.8966943,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06855079,0.03196669,1,0,0,0,1,6.8814113,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.10940255,0.03184974,1,0,0,0,1,6.8814113,4.1640779,3,0,0,0.239,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.0774072,0.03170274,1,0,0,0,1,6.8966943,2.4510051,2,0,0,0.744,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.10478751,0.02940285,1,0,0,0,1,7.0422862,2.4510051,2,0,0,0.744,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.0669755,0.02949923,1,0,0,0,1,7.0422862,2.4510051,2,0,0,0.744,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.12823523,0.04897873,1,0,0,0,1,6.0161572,2.4510051,2,0,0,0.744,0,0,0,0,1,0,1,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.06335029,0.03173428,1,0,0,0,1,6.8966943,2.4510051,2,0,0,0.744,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
-0.0734119,0.03171235,1,0,0,0,1,6.8966943,2.4510051,2,0,0,0.744,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2.3025851,0,0,0,0,0,0,0,0
