PCC_w,SEPCC_w,dummies_w,Hstatistic_w,developed_w,undeveloped_w,Logit_w,lnobs_w,citations_w,firstpub_w,quadratic_w,Boone_w,IFrecursive_w,regulation_w,OLS_w,reviewed_journal_w,ownership_w,Concentration_w,FE_w,endogeneity_w,NPL_w,Lerner_w,global_w,HHI_w,macro_w,Zscore_w,RE_w,T_w,DtoD_w,sampleyear_w,GMM_w,someAveraged_w,profit_volat_w,profitability_w,SLS_w,capitalization_w
-0.000032,0.000359,0,0,0,0,0,0.3434248,0.0663615,0.4074074,0,0,0.0220741,0.037037,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
0.001976,0.0003585,0,0,0,0,0,0.3434248,0.0663615,0.4074074,0,0,0.0220741,0.037037,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
-0.0022939,0.0006664,0,0,0,0,0,0.2974707,0.0663615,0.4074074,0,0,0.0220741,0.037037,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
-0.0008014,0.0005756,0,0,0,0,0,0.3084522,0.0663615,0.4074074,0,0,0.0220741,0.037037,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
0.0006928,0.0003807,0,0,0,0,0,0.3390794,0.0663615,0.4074074,0,0,0.0220741,0.037037,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
0.0018882,0.0003562,0,0,0,0,0,0.3439089,0.0663615,0.4074074,0,0,0.0220741,0,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
0.0009337,0.0003566,0,0,0,0,0,0.3439089,0.0663615,0.4074074,0,0,0.0220741,0,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
0.0011676,0.0003565,0,0,0,0,0,0.3439089,0.0663615,0.4074074,0,0,0.0220741,0,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
0.0012271,0.0003757,0,0,0,0,0,0.3400338,0.0663615,0.4074074,0,0,0.0220741,0,0,0.037037,0,0,0,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0.037037,0
0.0013256,0.000527,0,0,0,0,0,0.3149444,0.0663615,0.4074074,0,0,0.0220741,0,0,0.037037,0,0,0.037037,0.037037,0,0.037037,0.037037,0,0,0,0,0.0949981,0.037037,0.3888889,0,0,0,0,0,0
