PCC,SEPCC,dummies,Hstatistic,developed,undeveloped,Logit,lnobs,citations,firstpub,quadratic,Boone,Ifrecursive,regulation,OLS,reviewed_journal,ownership,Concentration,FE,endogeneity,NPL,Lerner,global,HHI,macro,Zscore,RE,T,DtoD,sampleyear,GMM,someAveraged,profit_volat,profitability,SLS,capitalization
-0.0025224,0.0008969,0,0,0,0,0,0.2217208,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.1073121,0,0.109375,0.03125,0,0,0,0,0
0.0006996,0.0010368,0.03125,0,0,0.03125,0.03125,0.2128514,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0,0,0,0,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
0.0006996,0.0010368,0.03125,0,0,0.03125,0.03125,0.2128514,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0,0,0,0,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
0.0007151,0.0010598,0.03125,0,0,0.03125,0.03125,0.2114795,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
-0.0007151,0.0010598,0.03125,0,0,0.03125,0.03125,0.2114795,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
-0.0009917,0.0014691,0.03125,0,0,0,0.03125,0.1910526,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0,0,0,0,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
-0.0009917,0.0014691,0.03125,0,0,0,0.03125,0.1910526,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0,0,0,0,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
-0.0009917,0.0014691,0.03125,0,0,0,0.03125,0.1910526,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
-0.0009917,0.0014691,0.03125,0,0,0,0.03125,0.1910526,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.1083042,0,0.09375,0,0,0,0,0,0
-0.0027972,0.0009942,0,0,0,0.03125,0,0.215236,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.1073121,0,0.109375,0.03125,0,0,0.03125,0,0
-0.0006734,0.000998,0,0,0,0.03125,0,0.215236,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.1073121,0,0.109375,0.03125,0,0,0,0,0
-0.0040489,0.0014354,0,0,0,0,0,0.1920058,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.1073121,0,0.109375,0.03125,0,0,0.03125,0,0
-0.0040489,0.0014354,0,0,0,0,0,0.1920058,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.1073121,0,0.109375,0.03125,0,0,0,0,0
-0.0020911,0.0009317,0,0,0,0,0,0.2194089,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.0846266,0,0,0.03125,0,0,0.03125,0,0
-0.0006299,0.0009336,0,0,0,0,0,0.2194089,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.0846266,0,0,0.03125,0,0,0,0,0
-0.0030169,0.0010719,0,0,0,0,0,0.2104931,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.0719558,0,0.265625,0.03125,0,0,0.03125,0,0
-0.0030169,0.0010719,0,0,0,0,0,0.2104931,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.0719558,0,0.265625,0.03125,0,0,0,0,0
-0.003416,0.0012128,0,0,0,0,0,0.2026925,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.0433217,0,0.53125,0.03125,0,0,0.03125,0,0
-0.003416,0.0012128,0,0,0,0,0,0.2026925,0.0108304,0.375,0,0,0.0015937,0,0,0.03125,0,0.03125,0,0.03125,0,0,0.03125,0,0.03125,0,0,0.0433217,0,0.53125,0.03125,0,0,0,0,0
0.000533,0.0007901,0.03125,0,0,0,0.03125,0.2298438,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.0866434,0,0,0,0,0,0,0,0
-0.000533,0.0007901,0.03125,0,0,0,0.03125,0.2298438,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.0866434,0,0,0,0,0,0,0,0
-0.0022084,0.0009838,0.03125,0,0,0,0.03125,0.2159921,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.0749342,0,0.265625,0,0,0,0,0,0
-0.0022084,0.0009838,0.03125,0,0,0,0.03125,0.2159921,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.0749342,0,0.265625,0,0,0,0,0,0
-0.0024492,0.0012472,0.03125,0,0,0,0.03125,0.2011297,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.0502949,0,0.53125,0,0,0,0,0,0
-0.0027996,0.001246,0.03125,0,0,0,0.03125,0.2011297,0.0108304,0.375,0,0,0.0015937,0.03125,0,0.03125,0,0.03125,0,0,0,0,0.03125,0,0.03125,0,0,0.0502949,0,0.53125,0,0,0,0,0,0
-0.0008779,0.0004761,0,0,0,0,0,0.2953327,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
-0.0011702,0.000485,0,0,0,0,0,0.2940326,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
-0.0005137,0.0005394,0,0,0,0,0,0.2867352,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
0.0004054,0.0004827,0,0,0,0,0,0.2943994,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
-0.0008731,0.0004773,0,0,0,0,0,0.2951547,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
-0.0013141,0.0004855,0,0,0,0,0,0.2939574,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
-0.0011305,0.0005404,0,0,0,0,0,0.286583,0.0221116,0.3448276,0,0,0.000931,0,0,0.0344828,0,0,0,0.0344828,0,0.0344828,0.0344828,0,0,0.0344828,0,0.0671004,0,0.3965517,0.0344828,0,0,0,0,0
